Date,precipitation_sum,rain_sum,temperature_max,temperature_min,precipitation(nxt),rain_sum(nxt),temperature_max(nxt),temperature_min(nxt),precipitation(prev),rain_sum(prev),temperature_max(prev),temperature_min(prev),Holiday
2023-08-15,0.3,0.3,30.7,22.7,1.2,1.2,29.6,22.4,2,2,29.9,23.9,No
2023-08-16,1.2,1.2,29.6,22.4,2.1,2.1,30.2,23.8,0.3,0.3,30.7,22.7,No
2023-08-17,2.1,2.1,30.2,23.8,4.5,4.5,30.4,24.1,1.2,1.2,29.6,22.4,No
2023-08-18,4.5,4.5,30.4,24.1,5.2,5.2,30,23.6,2.1,2.1,30.2,23.8,No
2023-08-19,5.2,5.2,30,23.6,3.3,3.3,30.2,23.3,4.5,4.5,30.4,24.1,No
2023-08-20,3.3,3.3,30.2,23.3,0.7,0.7,31,24.3,5.2,5.2,30,23.6,No
2023-08-21,0.7,0.7,31,24.3,0.1,0.1,31.8,24.5,3.3,3.3,30.2,23.3,No
2023-08-22,0.1,0.1,31.8,24.5,0,0,31.3,24.7,0.7,0.7,31,24.3,No
2023-08-23,0,0,31.3,24.7,0,0,31.6,23.3,0.1,0.1,31.8,24.5,No
2023-08-24,0,0,31.6,23.3,2.3,2.3,30.9,23.7,0,0,31.3,24.7,No
2023-08-25,2.3,2.3,30.9,23.7,1.8,1.8,30.8,24.3,0,0,31.6,23.3,No
2023-08-26,1.8,1.8,30.8,24.3,1.6,1.6,30.8,24.5,2.3,2.3,30.9,23.7,No
2023-08-27,1.6,1.6,30.8,24.5,6.5,6.5,31.2,24.5,1.8,1.8,30.8,24.3,No
2023-08-28,6.5,6.5,31.2,24.5,10.8,10.8,31.4,23.7,1.6,1.6,30.8,24.5,No
2023-08-29,10.8,10.8,31.4,23.7,3,3,30.8,23.7,6.5,6.5,31.2,24.5,No
2023-08-30,3,3,30.8,23.7,4,4,31.8,24.5,10.8,10.8,31.4,23.7,No
2023-08-31,4,4,31.8,24.5,2.5,2.5,32,23.9,3,3,30.8,23.7,No
2023-09-01,2.5,2.5,32,23.9,6.3,6.3,30.6,24,4,4,31.8,24.5,No
2023-09-02,6.3,6.3,30.6,24,37.6,37.6,28.6,23.1,2.5,2.5,32,23.9,No
2023-09-03,37.6,37.6,28.6,23.1,14.5,14.5,28.7,22.9,6.3,6.3,30.6,24,No
2023-09-04,14.5,14.5,28.7,22.9,33.5,33.5,27,23.3,37.6,37.6,28.6,23.1,No
2023-09-05,33.5,33.5,27,23.3,28.2,28.2,26,23.2,14.5,14.5,28.7,22.9,No
2023-09-06,28.2,28.2,26,23.2,32.6,32.6,26.5,22.4,33.5,33.5,27,23.3,No
2023-09-07,32.6,32.6,26.5,22.4,20,20,26.7,22.4,28.2,28.2,26,23.2,No
2023-09-08,20,20,26.7,22.4,19.4,19.4,28.5,22.9,32.6,32.6,26.5,22.4,No
2023-09-09,19.4,19.4,28.5,22.9,34.6,34.6,27,22.9,20,20,26.7,22.4,No
2023-09-10,34.6,34.6,27,22.9,27.3,27.3,29.1,22.8,19.4,19.4,28.5,22.9,No
2023-09-11,27.3,27.3,29.1,22.8,11.8,11.8,29.8,22.9,34.6,34.6,27,22.9,No
2023-09-12,11.8,11.8,29.8,22.9,16.9,16.9,28.4,23.2,27.3,27.3,29.1,22.8,No
2023-09-13,16.9,16.9,28.4,23.2,26.4,26.4,29.6,22.8,11.8,11.8,29.8,22.9,No
2023-09-14,26.4,26.4,29.6,22.8,75.1,75.1,26.4,23.5,16.9,16.9,28.4,23.2,No
2023-09-15,75.1,75.1,26.4,23.5,16.3,16.3,30,22.9,26.4,26.4,29.6,22.8,No
2023-09-16,16.3,16.3,30,22.9,25.8,25.8,28.7,23.4,75.1,75.1,26.4,23.5,No
2023-09-17,25.8,25.8,28.7,23.4,35.9,35.9,28,22.7,16.3,16.3,30,22.9,No
2023-09-18,35.9,35.9,28,22.7,20.3,20.3,29,22.5,25.8,25.8,28.7,23.4,No
2023-09-19,20.3,20.3,29,22.5,3.7,3.7,29,23.1,35.9,35.9,28,22.7,No
